usgs_site,year,start_date,end_date,segment,date,value_std,Flow,quartile,before_count,after_count
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-07-11,2640,8.50666666666667,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-07-27,2675,7.43541666666667,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-08-10,2670,6.8,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-08-23,2946,6.23,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-09-07,2940,5.66,2,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-09-20,2849,5.38,2,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-10-03,2694,6.20833333333333,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-10-17,2138.25,14.2779166666667,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-10-18,2545,5.85416666666667,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-10-19,2817,5.78291666666667,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-10-21,2989,5.405,2,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-10-26,2650,5.64291666666667,2,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-11-02,2622,5.35833333333333,2,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-11-07,2673,5.1,2,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-11-09,961.285714285714,184.252083333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-11-15,2504,5.17,2,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-11-22,2553,5.1,2,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-11-30,2593,5.1,2,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-12-02,2223.83333333333,22.6008333333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-12-03,2494,6.30166666666667,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-12-13,2490,5.94791666666667,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-12-18,2066,13.4116666666667,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-12-19,2437,6.34958333333333,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-12-26,2511,9.40875,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2005-12-31,1510.25,365.29875,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-01-01,1281.6,315.1225,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-01-02,482.166666666667,2517.99958333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-01-03,875,221.873333333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-01-11,2008,20.3345833333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-01-13,1952,14.9066666666667,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-01-14,2006.5,24.14875,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-01-18,2138,15.2920833333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-01-24,2219,12.485,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-02-01,2323,8.96125,3,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-02-07,2360,5.66,2,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-02-17,2325.5,12.0283333333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-02-18,2350.66666666667,11.2570833333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-02-19,1466,39.625,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-02-21,2334,12.5004166666667,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-02-27,1974,338.374166666667,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-02-28,764,746.580833333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-03,1156.6,112.155416666667,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-05,1392,36.9695833333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-06,987.2,140.05,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-08,1591,44.1870833333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-11,1305,66.1016666666667,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-14,1419,29.8129166666667,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-15,1550,32.8195833333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-17,1515,37.9920833333333,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-27,1650.33333333333,19.5475,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-28,1017.5,331.531666666667,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-03-29,1021,172.6825,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-04-02,1202,78.7921739130435,4,85,95
sbc_lter_bel,2008,2008-07-01,2008-07-01,before,2006-04-03,596.142857142857,2908.88416666667,4,85,95
